H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, texas, 53.66, 1.67, 16.26, 2.46, 19.63, 4.07, 33.46, 2.32, 46.87, 3.13, 17.03, 3.35
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, texas, 53.55, 2.16, 14.65, 0.95, 21.49, 3.31, 32.47, 2.03, 47.30, 1.28, 15.73, 1.17
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, texas, 53.77, 2.20, 16.00, 3.22, 20.86, 0.93, 32.24, 3.06, 46.58, 3.44, 16.32, 3.06
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, texas, 53.99, 1.52, 16.35, 2.04, 20.65, 2.63, 33.14, 1.88, 46.74, 2.97, 16.63, 3.00
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, texas, 53.66, 1.27, 16.61, 4.84, 18.75, 2.15, 31.46, 2.78, 46.67, 0.86, 14.99, 2.10
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, texas, 53.55, 1.25, 13.69, 1.92, 21.13, 0.96, 31.71, 2.32, 49.80, 2.76, 13.98, 0.69
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, texas, 53.77, 0.66, 15.09, 2.52, 19.92, 1.99, 32.35, 1.28, 48.60, 2.25, 14.92, 1.18
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, texas, 53.77, 0.74, 14.30, 1.80, 21.02, 2.27, 31.41, 1.69, 48.59, 2.83, 14.42, 1.70
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, texas, 52.68, 2.53, 11.65, 0.99, 17.13, 2.48, 31.21, 2.48, 49.92, 5.02, 12.83, 1.71
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, texas, 53.33, 1.88, 12.21, 1.55, 17.47, 2.79, 31.07, 1.40, 48.01, 3.35, 14.30, 2.70
