cora, 49.45, 43.49, 31.38, 43.26, 51.77, 33.29
cora, 49.45, 43.49, 31.38, 43.26, 51.77, 33.29
citeseer, 46.44, 32.89, 26.62, 34.34, 62.23, 6.74
amap, 32.05, 17.45, 6.83, 32.10, 15.65, 69.46
bat, 54.96, 33.01, 22.02, 53.11, -3.41, 56.53
eat, 52.88, 32.04, 24.78, 48.16, -6.45, 64.99
uat, 39.24, 14.32, 7.26, 36.89, 1.25, 48.89
texas, 35.52, 12.51, 2.72, 24.86, -6.80, 78.64
wisc, 44.22, 8.25, 4.33, 27.83, -0.74, 67.33
cornell, 34.97, 5.10, -1.83, 25.82, 4.52, 67.12
actor, 25.99, 0.07, -0.01, 13.30, 8.47, 59.93
Roman-empire, 19.20, 12.23, 2.69, 13.17, 20.16, 67.69
Amazon-ratings, 33.16, 0.06, 0.04, 17.36, 16.38, 50.24
Minesweeper, 50.06, 0.00, -0.01, 45.25, 21.38, 28.60
Tolokers, 77.98, 0.02, 0.22, 44.42, 3.29, 3.52
